"YEAR","MONTH","DAY","STID","RAIN"
2019,1,1,OKCE,0.00
2019,1,2,OKCE,0.00
2019,1,3,OKCE,0.51
2019,1,4,OKCE,0.51
2019,1,5,OKCE,0.37
2019,1,6,OKCE,0.00
2019,1,7,OKCE,0.00
2019,1,8,OKCE,0.00
2019,1,9,OKCE,0.00
2019,1,10,OKCE,0.00
2019,1,11,OKCE,0.53
2019,1,12,OKCE,0.04
2019,1,13,OKCE,0.00
2019,1,14,OKCE,0.00
2019,1,15,OKCE,0.01
2019,1,16,OKCE,0.00
2019,1,17,OKCE,0.00
2019,1,18,OKCE,0.02
2019,1,19,OKCE,0.00
2019,1,20,OKCE,0.00
2019,1,21,OKCE,0.00
2019,1,22,OKCE,0.01
2019,1,23,OKCE,0.00
2019,1,24,OKCE,0.00
2019,1,25,OKCE,0.00
2019,1,26,OKCE,0.00
2019,1,27,OKCE,0.00
2019,1,28,OKCE,0.00
2019,1,29,OKCE,0.00
2019,1,30,OKCE,0.00
2019,1,31,OKCE,0.00
2019,2,1,OKCE,0.00
2019,2,2,OKCE,0.00
2019,2,3,OKCE,0.00
2019,2,4,OKCE,0.00
2019,2,5,OKCE,0.01
2019,2,6,OKCE,0.10
2019,2,7,OKCE,0.01
2019,2,8,OKCE,0.02
2019,2,9,OKCE,0.00
2019,2,10,OKCE,0.00
2019,2,11,OKCE,0.08
2019,2,12,OKCE,0.00
2019,2,13,OKCE,0.00
2019,2,14,OKCE,0.00
2019,2,15,OKCE,0.00
2019,2,16,OKCE,0.00
2019,2,17,OKCE,0.00
2019,2,18,OKCE,0.00
2019,2,19,OKCE,0.08
2019,2,20,OKCE,0.12
2019,2,21,OKCE,0.00
2019,2,22,OKCE,0.06
2019,2,23,OKCE,0.02
2019,2,24,OKCE,0.00
2019,2,25,OKCE,0.00
2019,2,26,OKCE,0.00
2019,2,27,OKCE,0.00
2019,2,28,OKCE,0.00
2019,3,1,OKCE,0.01
2019,3,2,OKCE,0.00
2019,3,3,OKCE,0.00
2019,3,4,OKCE,0.00
2019,3,5,OKCE,0.02
2019,3,6,OKCE,0.00
2019,3,7,OKCE,0.00
2019,3,8,OKCE,0.00
2019,3,9,OKCE,0.21
2019,3,10,OKCE,0.35
2019,3,11,OKCE,0.05
2019,3,12,OKCE,0.03
2019,3,13,OKCE,1.10
2019,3,14,OKCE,0.00
2019,3,15,OKCE,0.00
2019,3,16,OKCE,0.00
2019,3,17,OKCE,0.00
2019,3,18,OKCE,0.00
2019,3,19,OKCE,0.00
2019,3,20,OKCE,0.03
2019,3,21,OKCE,0.00
2019,3,22,OKCE,0.00
2019,3,23,OKCE,0.29
2019,3,24,OKCE,0.00
2019,3,25,OKCE,0.00
2019,3,26,OKCE,0.00
2019,3,27,OKCE,0.00
2019,3,28,OKCE,0.00
2019,3,29,OKCE,0.00
2019,3,30,OKCE,0.41
2019,3,31,OKCE,0.00
2019,4,1,OKCE,0.00
